signalType,sampleRate,algorithm,algorithmParameters,trueFreq,predFreq,time
saw,44100,cepstrum,isCustomFFT=False,150,150.14648437499997,0.00034327799949096516
saw,44100,HPS,isCustomFFT=False&numDownsamples=4,150,150.732421875,0.003861135002807714
saw,44100,average,b=1&isCustomFFT=False&numDownsamples=4,150,150.0750061354712,16.2077713089966
saw,44100,median,b=1&isCustomFFT=False&numDownsamples=4,150,150.07853403141362,16.2077713089966
square,44100,zerocross,n/a,150,150.0,0.00028265800210647285
square,44100,autocorrelation,n/a,150,150.0,6.9136374539957615
square,44100,AMDF,b=1,150,75.0,8.29309356900194
square,44100,naiveFT,isCustomFFT=False,150,150.732421875,0.00029712700052186847
square,44100,cepstrum,isCustomFFT=False,150,99.87119096436652,0.00035827099782181904
square,44100,HPS,isCustomFFT=False&numDownsamples=4,150,150.732421875,0.003925940000044648
square,44100,average,b=1&isCustomFFT=False&numDownsamples=4,150,133.29039698812218,15.211595018998196
square,44100,median,b=1&isCustomFFT=False&numDownsamples=4,150,150.0,15.211595018998196
triangle,44100,zerocross,n/a,150,150.0,0.0001579610034241341
triangle,44100,autocorrelation,n/a,150,150.0,6.899970641999971
triangle,44100,AMDF,b=1,150,150.0,8.563122457002464
triangle,44100,naiveFT,isCustomFFT=False,150,150.732421875,0.0003002099983859807
triangle,44100,cepstrum,isCustomFFT=False,150,3678.5888671875,0.0003364730000612326
triangle,44100,HPS,isCustomFFT=False&numDownsamples=4,150,150.732421875,0.0038819499968667515
triangle,44100,average,b=1&isCustomFFT=False&numDownsamples=4,150,150.244140625,15.467769693001173
triangle,44100,median,b=1&isCustomFFT=False&numDownsamples=4,150,150.0,15.467769693001173
sineWith10Harmonics,44100,zerocross,n/a,150,150.07853403141362,0.0001588219965924509
sineWith10Harmonics,44100,autocorrelation,n/a,150,150.0,6.914877397000964
sineWith10Harmonics,44100,AMDF,b=1,150,150.0,8.558849583001575
sineWith10Harmonics,44100,naiveFT,isCustomFFT=False,150,150.732421875,0.00030764399707550183
sineWith10Harmonics,44100,cepstrum,isCustomFFT=False,150,3678.5888671875,0.00033848000020952895
sineWith10Harmonics,44100,HPS,isCustomFFT=False&numDownsamples=4,150,150.732421875,0.003930088001652621
sineWith10Harmonics,44100,average,b=1&isCustomFFT=False&numDownsamples=4,150,150.2703186354712,15.478462013998069
sineWith10Harmonics,44100,median,b=1&isCustomFFT=False&numDownsamples=4,150,150.07853403141362,15.478462013998069
sineWith20Harmonics,44100,zerocross,n/a,150,150.07853403141362,0.00015983000048436224
sineWith20Harmonics,44100,autocorrelation,n/a,150,150.0,6.906746943001053
sineWith20Harmonics,44100,AMDF,b=1,150,150.0,8.614440768993518
sineWith20Harmonics,44100,naiveFT,isCustomFFT=False,150,150.732421875,0.00029732700204476714
sineWith20Harmonics,44100,cepstrum,isCustomFFT=False,150,3678.5888671875,0.00033572000393178314
sineWith20Harmonics,44100,HPS,isCustomFFT=False&numDownsamples=4,150,150.732421875,0.0038951280002947897
sineWith20Harmonics,44100,average,b=1&isCustomFFT=False&numDownsamples=4,150,150.2703186354712,15.525875717001327
sineWith20Harmonics,44100,median,b=1&isCustomFFT=False&numDownsamples=4,150,150.07853403141362,15.525875717001327
sine,44100,zerocross,n/a,200,200.05040322580646,0.00015820999396964908
sine,44100,autocorrelation,n/a,200,200.45454545454547,6.925793641996279
sine,44100,AMDF,b=1,200,100.0,8.562680140006705
sine,44100,naiveFT,isCustomFFT=False,200,193.798828125,0.00030529600189765915
sine,44100,cepstrum,isCustomFFT=False,200,3678.5888671875,0.00034431100357323885
sine,44100,HPS,isCustomFFT=False&numDownsamples=4,200,64.599609375,0.003854777998640202
sine,44100,average,b=1&isCustomFFT=False&numDownsamples=4,200,164.61641045026883,15.493136377001065
sine,44100,median,b=1&isCustomFFT=False&numDownsamples=4,200,193.798828125,15.493136377001065
saw,44100,zerocross,n/a,200,200.05040322580646,0.0001599429961061105
saw,44100,autocorrelation,n/a,200,200.45454545454547,6.903666635000263
saw,44100,AMDF,b=1,200,100.0,8.5496022810039
